age,annual_income,credit_score,tenure_months,account_balance,monthly_usage_hours,support_tickets,contract_type,payment_method,device_category,is_churn
19,62072.92,670,48,100452.6,29.0,2,Month-to-Month,Electronic Check,Mobile,0
18,47048.65,396,54,144207.37,107.4,3,Month-to-Month,Credit Card,Tablet,0
65,43814.67,825,35,90400.49,22.9,2,Month-to-Month,Credit Card,Tablet,0
29,72007.65,530,56,83921.29,26.4,2,Month-to-Month,Credit Card,Mobile,0
22,40662.1,455,40,2180.12,33.3,3,Two-Year,Bank Transfer,Mobile,0
54,132285.01,548,68,12142.46,37.2,1,Month-to-Month,Credit Card,Desktop,0
49,34655.23,735,46,86575.74,62.2,3,Month-to-Month,Bank Transfer,Tablet,0
72,103960.43,455,13,140436.06,85.9,3,Month-to-Month,Bank Transfer,Mobile,0
26,179488.01,629,27,130003.7,111.2,5,Month-to-Month,Electronic Check,Mobile,0
58,151165.39,609,6,147386.84,11.5,1,Two-Year,Credit Card,Desktop,0
52,120359.01,457,17,79175.11,114.6,5,Two-Year,Bank Transfer,Mobile,0
36,72469.31,368,36,118189.64,110.6,2,Month-to-Month,Bank Transfer,Desktop,0
65,121703.85,759,2,126060.05,7.4,1,Month-to-Month,Bank Transfer,Desktop,0
33,106691.43,808,52,97204.75,43.9,1,One-Year,Electronic Check,Mobile,0
20,91042.92,645,66,50812.49,97.8,3,Month-to-Month,Bank Transfer,Mobile,0
37,45260.11,655,52,70496.77,73.8,5,Month-to-Month,Electronic Check,Desktop,1
41,162423.65,520,43,128687.56,93.7,1,Month-to-Month,Credit Card,Desktop,0
71,94716.62,680,22,44782.19,86.6,3,Two-Year,Bank Transfer,Desktop,0
73,55166.49,842,55,138561.47,60.1,4,Month-to-Month,Bank Transfer,Desktop,0
50,82002.7,544,67,34470.95,5.9,1,Month-to-Month,Electronic Check,Mobile,0
41,89190.11,361,60,112427.46,70.5,0,Month-to-Month,Credit Card,Desktop,0
69,153268.37,544,58,94583.89,6.8,1,Month-to-Month,Credit Card,Mobile,0
28,138710.23,839,12,112439.92,72.8,4,One-Year,Bank Transfer,Desktop,1
66,144242.26,632,69,65602.14,96.2,3,Month-to-Month,Credit Card,Mobile,0
25,26709.85,718,39,139896.16,70.6,3,Two-Year,Bank Transfer,Desktop,0
53,89503.87,531,13,94870.83,119.6,1,Month-to-Month,Electronic Check,Desktop,1
55,99608.34,799,41,43244.37,55.2,1,Month-to-Month,Electronic Check,Desktop,0
57,27974.8,654,57,95768.26,90.1,3,Month-to-Month,Credit Card,Tablet,0
37,65271.05,493,53,43022.36,80.4,3,One-Year,Credit Card,Mobile,0
52,142844.92,735,12,44044.86,119.0,2,Month-to-Month,Bank Transfer,Mobile,0
65,46252.0,665,13,59939.78,85.9,3,Month-to-Month,Bank Transfer,Mobile,0
42,107973.07,531,57,127864.56,20.5,2,One-Year,Bank Transfer,Tablet,0
52,58356.29,379,40,75044.68,114.7,4,Month-to-Month,Bank Transfer,Mobile,1
42,26878.72,433,45,101835.13,80.5,3,Two-Year,Bank Transfer,Mobile,0
46,62386.23,515,35,58795.16,8.1,2,Month-to-Month,Credit Card,Tablet,0
35,176260.43,633,3,39540.82,79.3,3,Month-to-Month,Electronic Check,Tablet,1
63,149238.25,630,5,143196.02,106.1,1,One-Year,Credit Card,Tablet,0
35,173734.38,445,11,90537.19,69.7,3,Month-to-Month,Credit Card,Mobile,0
19,100617.38,730,71,140092.7,43.1,2,One-Year,Electronic Check,Desktop,0
71,42009.11,615,56,30511.95,98.7,4,Month-to-Month,Bank Transfer,Desktop,0
52,109933.72,793,10,22034.12,94.1,1,Month-to-Month,Bank Transfer,Desktop,0
33,95428.49,647,34,128373.44,65.8,5,Two-Year,Credit Card,Mobile,0
58,155875.35,645,67,102137.58,19.4,3,One-Year,Credit Card,Desktop,0
53,40202.8,574,31,27986.77,30.9,1,Month-to-Month,Credit Card,Mobile,0
50,100677.38,682,71,40403.96,88.9,6,Month-to-Month,Bank Transfer,Mobile,0
21,48257.54,710,66,120099.59,96.9,3,Month-to-Month,Credit Card,Desktop,0
50,75324.77,723,70,68080.29,34.2,5,One-Year,Bank Transfer,Mobile,0
31,139290.35,391,41,100581.08,44.8,2,Two-Year,Electronic Check,Mobile,0
38,98782.81,652,63,47752.8,10.2,2,Month-to-Month,Bank Transfer,Mobile,0
65,83262.68,770,32,57184.49,85.9,1,Month-to-Month,Electronic Check,Desktop,0
37,86143.82,595,20,148606.88,1.4,3,Month-to-Month,Electronic Check,Mobile,1
73,96214.25,557,57,37142.56,6.5,2,Month-to-Month,Electronic Check,Desktop,1
25,146677.56,586,50,75968.46,1.5,4,One-Year,Bank Transfer,Desktop,0
24,163273.13,371,25,126660.35,77.8,2,Month-to-Month,Credit Card,Desktop,0
20,173076.88,534,12,35883.48,50.7,1,Month-to-Month,Bank Transfer,Mobile,0
34,146970.02,817,71,62282.06,36.4,1,Month-to-Month,Bank Transfer,Desktop,0
50,73888.07,591,39,92263.69,109.6,2,Month-to-Month,Credit Card,Mobile,0
65,131660.88,712,17,72178.22,23.9,7,Month-to-Month,Bank Transfer,Mobile,1
29,92828.48,632,45,68925.34,47.3,1,Two-Year,Bank Transfer,Desktop,0
68,64473.95,390,11,54376.46,112.9,3,One-Year,Credit Card,Tablet,0
39,155335.09,685,70,87996.95,51.8,2,Month-to-Month,Bank Transfer,Mobile,0
72,30956.08,511,23,93655.9,67.0,1,One-Year,Credit Card,Desktop,0
39,164773.11,509,70,97993.43,10.6,3,One-Year,Credit Card,Tablet,0
63,96529.01,823,38,10555.22,95.0,3,Month-to-Month,Electronic Check,Tablet,0
47,123766.23,438,2,94655.13,51.3,3,Month-to-Month,Bank Transfer,Mobile,1
55,127199.86,671,37,142985.58,96.3,1,Month-to-Month,Bank Transfer,Desktop,0
55,163743.25,361,49,81147.94,31.2,4,Month-to-Month,Credit Card,Mobile,0
62,123683.8,773,52,107290.06,51.3,4,Two-Year,Bank Transfer,Desktop,0
68,120159.71,422,33,83509.85,94.6,2,Month-to-Month,Credit Card,Mobile,0
71,35331.07,425,22,128211.09,116.9,1,Two-Year,Bank Transfer,Desktop,0
25,105353.24,695,5,139437.46,8.1,3,One-Year,Electronic Check,Tablet,0
44,48276.2,550,18,27632.98,97.7,2,Month-to-Month,Electronic Check,Tablet,0
44,139302.23,359,38,65529.01,36.8,1,Two-Year,Credit Card,Tablet,0
51,104394.4,701,37,58857.32,66.5,1,Month-to-Month,Bank Transfer,Mobile,0
38,130435.31,575,64,60782.27,35.5,2,Month-to-Month,Electronic Check,Mobile,0
47,31459.3,525,10,18828.63,74.0,3,One-Year,Credit Card,Desktop,0
50,38142.76,625,42,122042.36,43.1,1,Month-to-Month,Credit Card,Desktop,0
45,136030.13,388,48,5364.94,40.7,1,Month-to-Month,Electronic Check,Mobile,0
64,36173.07,409,44,79233.99,5.5,1,One-Year,Electronic Check,Mobile,0
50,36044.79,415,16,99281.76,18.5,5,Two-Year,Bank Transfer,Tablet,0
22,26876.81,670,54,31120.42,110.1,2,Month-to-Month,Credit Card,Tablet,0
65,173257.72,784,35,135877.53,119.8,3,Month-to-Month,Bank Transfer,Mobile,0
36,139313.8,473,28,125782.38,93.9,1,Month-to-Month,Credit Card,Mobile,0
21,79753.97,513,2,70662.56,35.1,1,One-Year,Bank Transfer,Desktop,0
52,70963.02,757,13,61672.34,48.9,0,Month-to-Month,Bank Transfer,Tablet,0
66,79204.0,760,41,35485.19,89.0,4,Two-Year,Bank Transfer,Desktop,0
34,145071.3,735,59,109498.98,116.3,1,One-Year,Bank Transfer,Tablet,0
61,127512.44,508,69,19761.57,55.2,2,One-Year,Electronic Check,Desktop,0
45,53705.31,406,53,102035.66,99.7,4,Two-Year,Bank Transfer,Tablet,0
47,51986.95,427,45,126368.55,117.0,1,Two-Year,Credit Card,Desktop,0
46,40251.33,543,20,34270.74,104.9,1,Month-to-Month,Credit Card,Tablet,0
63,127346.92,634,24,129964.11,28.0,3,Month-to-Month,Credit Card,Desktop,0
70,143477.76,364,61,4998.48,2.0,1,One-Year,Bank Transfer,Mobile,0
23,66082.2,361,58,136918.11,59.6,6,Two-Year,Electronic Check,Mobile,0
52,28246.47,450,27,17754.33,64.2,3,One-Year,Bank Transfer,Tablet,0
58,37736.61,505,26,96863.88,24.9,2,Month-to-Month,Credit Card,Mobile,0
54,175018.31,689,7,37512.37,34.9,4,One-Year,Credit Card,Mobile,1
41,70793.94,474,42,125482.86,92.1,0,Month-to-Month,Credit Card,Desktop,0
46,144229.59,708,47,76845.05,57.0,3,Two-Year,Credit Card,Desktop,0
66,121822.85,629,53,20286.18,38.8,2,Month-to-Month,Bank Transfer,Mobile,0
63,84200.64,754,59,85648.74,75.1,4,Two-Year,Credit Card,Mobile,0
70,56881.53,743,38,61182.39,78.7,1,Month-to-Month,Credit Card,Mobile,0
48,43814.89,459,69,99217.17,92.6,3,Two-Year,Credit Card,Mobile,0
52,120327.01,683,53,132285.49,19.6,3,Month-to-Month,Bank Transfer,Tablet,0
50,145068.24,706,15,61408.37,89.2,1,One-Year,Bank Transfer,Desktop,0
69,124805.16,495,26,43482.1,72.3,2,Two-Year,Electronic Check,Tablet,0
38,107196.83,565,48,2177.26,7.9,4,One-Year,Credit Card,Mobile,0
49,31502.44,747,19,86225.86,93.5,1,One-Year,Electronic Check,Mobile,0
40,175115.76,511,9,60341.22,46.6,2,Month-to-Month,Bank Transfer,Desktop,0
50,148800.7,477,64,56197.38,40.3,3,Month-to-Month,Credit Card,Mobile,0
20,70387.42,663,54,27440.3,54.3,2,Two-Year,Credit Card,Mobile,0
35,176895.4,681,51,64508.3,42.2,2,Month-to-Month,Credit Card,Tablet,0
42,118291.65,499,39,147666.29,41.3,2,One-Year,Bank Transfer,Tablet,0
59,115275.51,803,4,44663.12,97.2,1,One-Year,Credit Card,Desktop,0
48,140951.34,385,3,89955.66,15.8,1,Month-to-Month,Electronic Check,Desktop,0
71,150824.32,522,64,116473.03,116.5,6,Month-to-Month,Credit Card,Mobile,0
75,126754.18,769,29,112373.67,67.0,2,Month-to-Month,Bank Transfer,Tablet,0
20,44854.84,371,11,49316.14,22.8,1,Month-to-Month,Credit Card,Desktop,0
57,77431.46,555,58,91629.01,16.6,2,Two-Year,Bank Transfer,Mobile,0
63,168852.96,476,27,130689.7,71.4,2,One-Year,Electronic Check,Mobile,0
41,59815.42,685,21,2317.11,76.3,2,Month-to-Month,Electronic Check,Desktop,0
67,82685.89,794,39,65360.15,7.3,2,Month-to-Month,Credit Card,Mobile,0
49,91971.92,705,46,33641.01,29.9,4,One-Year,Credit Card,Tablet,0
64,93107.77,789,66,58294.84,95.7,1,Month-to-Month,Electronic Check,Tablet,0
39,120005.64,566,36,62398.44,6.9,0,Month-to-Month,Credit Card,Tablet,0
40,171176.75,445,65,112000.64,102.8,2,Month-to-Month,Bank Transfer,Desktop,0
19,62307.37,766,63,14073.28,79.3,3,Two-Year,Electronic Check,Mobile,0
44,43832.71,778,35,76887.59,52.7,1,Month-to-Month,Bank Transfer,Mobile,0
59,55607.93,513,31,84629.22,42.2,1,Month-to-Month,Credit Card,Desktop,0
19,162473.36,497,28,74123.64,3.3,0,Two-Year,Electronic Check,Mobile,0
43,125100.68,367,1,109780.99,99.2,4,Month-to-Month,Electronic Check,Desktop,1
34,69315.55,643,25,57568.69,18.0,2,Two-Year,Bank Transfer,Mobile,0
57,151471.78,544,43,141745.06,37.8,2,Month-to-Month,Bank Transfer,Mobile,0
50,158512.35,500,67,72270.52,68.7,0,Month-to-Month,Electronic Check,Mobile,0
26,156209.72,829,63,85682.09,30.3,0,Month-to-Month,Electronic Check,Desktop,0
60,167433.61,714,51,123829.62,60.2,3,Month-to-Month,Electronic Check,Mobile,0
71,64097.36,472,2,41285.42,97.3,2,Month-to-Month,Bank Transfer,Mobile,0
65,142031.5,749,64,11280.3,57.0,3,Month-to-Month,Electronic Check,Mobile,0
56,96383.62,536,69,106167.6,113.9,2,Month-to-Month,Bank Transfer,Mobile,0
46,155509.78,802,9,72451.78,101.9,1,Month-to-Month,Credit Card,Tablet,0
59,137916.05,801,2,134475.64,40.6,2,One-Year,Bank Transfer,Desktop,0
72,145349.35,498,34,147402.01,48.6,2,Two-Year,Bank Transfer,Mobile,0
43,126705.08,453,60,59866.4,51.4,4,Two-Year,Electronic Check,Mobile,0
52,52501.46,592,61,62315.85,75.5,4,Month-to-Month,Electronic Check,Tablet,1
67,109479.17,811,31,61194.39,35.1,2,Two-Year,Credit Card,Desktop,0
42,177623.81,580,10,48683.12,116.3,2,Month-to-Month,Bank Transfer,Mobile,0
41,170295.15,828,36,117253.06,73.4,1,Month-to-Month,Bank Transfer,Mobile,0
30,31691.93,555,49,113849.36,48.5,0,Month-to-Month,Electronic Check,Mobile,0
75,50546.3,547,70,71796.73,77.8,3,One-Year,Credit Card,Mobile,0
24,45417.96,745,49,6699.18,48.1,4,Two-Year,Bank Transfer,Desktop,0
74,137526.89,749,3,46433.9,98.3,1,One-Year,Bank Transfer,Mobile,0
53,151756.73,686,5,43845.46,68.6,3,Month-to-Month,Electronic Check,Desktop,0
62,58094.26,842,61,121663.09,6.0,5,One-Year,Bank Transfer,Mobile,0
37,103407.17,436,26,13136.34,22.0,1,Month-to-Month,Bank Transfer,Mobile,0
18,155308.97,491,5,120851.31,103.9,1,Month-to-Month,Electronic Check,Desktop,0
25,138584.24,666,15,100377.55,68.0,1,Month-to-Month,Bank Transfer,Mobile,0
63,109046.77,548,16,109866.22,114.1,5,Month-to-Month,Credit Card,Desktop,1
33,116503.89,395,1,64831.98,9.6,2,Month-to-Month,Credit Card,Desktop,0
31,103795.88,637,16,101958.87,36.1,1,One-Year,Electronic Check,Tablet,0
29,71120.01,364,37,91354.34,24.0,0,Month-to-Month,Credit Card,Mobile,0
68,112578.41,393,3,115347.03,66.9,1,Month-to-Month,Bank Transfer,Mobile,0
40,131777.22,750,52,67015.48,46.6,2,Month-to-Month,Bank Transfer,Desktop,0
32,160365.05,518,47,70923.84,19.7,3,Two-Year,Electronic Check,Mobile,0
45,123625.16,659,13,96536.43,77.5,1,Month-to-Month,Bank Transfer,Mobile,0
51,142973.84,844,55,16211.62,64.8,0,Month-to-Month,Bank Transfer,Mobile,0
19,49811.1,393,21,65436.67,33.7,7,Month-to-Month,Credit Card,Desktop,1
49,96541.41,447,66,145792.63,58.1,0,One-Year,Bank Transfer,Mobile,0
40,26446.4,610,54,5632.85,89.7,4,Month-to-Month,Credit Card,Desktop,0
39,63235.22,458,27,47400.71,25.4,1,Month-to-Month,Electronic Check,Desktop,0
68,137601.57,632,38,47116.47,35.9,3,Month-to-Month,Electronic Check,Mobile,0
42,178730.54,721,58,95019.62,42.2,1,Month-to-Month,Credit Card,Desktop,0
75,40372.61,692,62,15870.05,89.9,3,Month-to-Month,Credit Card,Mobile,0
39,87231.62,453,46,94281.6,101.8,1,One-Year,Bank Transfer,Mobile,0
75,149011.0,605,11,14256.04,45.8,3,Two-Year,Bank Transfer,Mobile,0
75,56625.52,728,8,14243.05,36.3,0,Two-Year,Bank Transfer,Desktop,0
39,111038.17,555,71,109227.5,106.8,2,One-Year,Electronic Check,Mobile,0
66,138626.05,684,64,48620.28,119.9,2,Month-to-Month,Electronic Check,Mobile,0
69,120477.74,392,21,146613.44,80.8,1,Two-Year,Bank Transfer,Tablet,0
59,54143.83,702,63,5602.94,118.8,3,Two-Year,Credit Card,Mobile,0
23,80084.61,594,64,66766.0,79.5,2,Two-Year,Bank Transfer,Tablet,0
32,146487.73,636,20,16970.39,88.3,0,Month-to-Month,Electronic Check,Mobile,0
71,110905.11,704,8,52706.85,47.3,3,Month-to-Month,Bank Transfer,Desktop,0
60,25810.59,622,58,149733.37,52.5,2,Two-Year,Bank Transfer,Desktop,0
54,142953.57,825,46,133326.38,18.2,3,Two-Year,Credit Card,Tablet,0
50,30473.26,432,31,7248.66,98.9,1,One-Year,Electronic Check,Tablet,0
25,140588.74,459,9,84488.38,111.8,2,Two-Year,Electronic Check,Tablet,0
70,56384.49,787,15,97173.35,75.2,2,One-Year,Credit Card,Mobile,0
61,173501.39,539,26,31430.19,41.9,2,Month-to-Month,Credit Card,Desktop,0
61,82030.82,820,10,21765.84,19.3,2,Month-to-Month,Credit Card,Desktop,0
22,75674.4,637,29,135657.17,32.6,1,One-Year,Electronic Check,Mobile,0
56,48077.65,773,36,145322.47,31.4,4,Month-to-Month,Electronic Check,Tablet,1
21,72368.65,746,37,148783.93,74.0,0,Two-Year,Bank Transfer,Mobile,0
23,160880.87,600,71,118464.27,113.5,1,Month-to-Month,Credit Card,Mobile,0
62,179431.82,561,23,99525.31,6.7,3,Two-Year,Credit Card,Mobile,0
49,82087.98,640,41,51859.54,1.1,4,Two-Year,Bank Transfer,Desktop,0
69,94534.65,482,28,25709.75,72.4,3,Month-to-Month,Credit Card,Desktop,0
47,136921.0,550,48,11847.09,34.8,2,Month-to-Month,Bank Transfer,Desktop,0
64,162360.35,634,38,103994.62,105.8,2,One-Year,Credit Card,Mobile,0
52,116921.87,675,31,117708.51,39.9,2,Month-to-Month,Credit Card,Desktop,0
72,85686.48,758,14,123968.05,35.5,0,One-Year,Bank Transfer,Tablet,0
57,88956.39,444,29,137064.75,33.1,1,Month-to-Month,Electronic Check,Mobile,0
69,132820.81,627,51,131989.43,18.2,1,Month-to-Month,Credit Card,Desktop,0
33,25498.83,799,49,149961.19,70.2,1,Month-to-Month,Bank Transfer,Mobile,0
30,121036.35,778,43,36609.6,21.0,1,Month-to-Month,Credit Card,Mobile,0
67,80101.42,674,5,114496.14,51.5,2,Month-to-Month,Bank Transfer,Desktop,0
59,148100.59,568,42,87968.93,55.9,3,Two-Year,Electronic Check,Mobile,0
47,39413.55,438,7,39186.77,3.4,3,Month-to-Month,Credit Card,Desktop,1
36,116171.35,421,42,147285.8,3.0,2,Two-Year,Credit Card,Desktop,0
34,99550.8,596,36,134684.72,62.9,1,Two-Year,Credit Card,Mobile,0
73,124560.46,478,27,19277.35,83.8,1,Two-Year,Bank Transfer,Mobile,0
36,35052.31,561,58,3923.75,113.1,3,Month-to-Month,Bank Transfer,Tablet,0
45,114897.49,777,46,103249.61,22.3,3,One-Year,Credit Card,Mobile,0
75,112030.11,692,66,90619.59,13.3,3,Month-to-Month,Credit Card,Desktop,0
72,111902.31,445,25,140372.34,7.2,1,Month-to-Month,Electronic Check,Tablet,1
43,118540.59,424,27,35100.79,52.9,5,Two-Year,Bank Transfer,Tablet,0
54,129852.53,772,1,12658.19,75.2,5,Month-to-Month,Bank Transfer,Desktop,1
43,149773.29,844,42,38882.3,101.0,1,Two-Year,Electronic Check,Mobile,0
70,66822.21,403,52,2839.15,82.2,1,One-Year,Credit Card,Mobile,0
40,152882.66,693,25,5383.91,25.8,1,Month-to-Month,Electronic Check,Mobile,0
26,102229.63,808,54,137228.67,56.0,4,Month-to-Month,Electronic Check,Desktop,0
29,36944.03,762,67,52802.49,109.3,2,One-Year,Credit Card,Mobile,0
70,34075.39,403,6,61621.35,39.9,4,One-Year,Bank Transfer,Tablet,1
18,76806.94,567,58,2755.75,60.3,5,One-Year,Bank Transfer,Desktop,0
75,146659.03,365,70,40578.27,115.1,1,Month-to-Month,Electronic Check,Mobile,0
75,134690.54,448,53,120708.9,88.4,2,Month-to-Month,Credit Card,Mobile,0
18,147235.32,369,66,92323.64,90.0,2,Month-to-Month,Electronic Check,Desktop,0
64,105176.7,395,58,113067.09,31.0,2,Month-to-Month,Electronic Check,Mobile,1
51,93230.84,800,2,67082.06,50.3,3,Month-to-Month,Electronic Check,Desktop,0
49,47855.14,542,22,46459.38,10.8,1,Month-to-Month,Electronic Check,Tablet,0
71,75869.88,732,37,72421.51,73.2,2,Month-to-Month,Bank Transfer,Tablet,0
65,92273.0,407,20,48460.66,13.3,1,One-Year,Electronic Check,Desktop,0
42,38733.07,786,24,125845.66,100.5,3,One-Year,Credit Card,Tablet,0
57,59194.85,460,65,44651.06,97.9,4,Month-to-Month,Bank Transfer,Desktop,0
62,117724.92,478,65,98964.55,64.5,7,One-Year,Bank Transfer,Mobile,1
70,139027.78,686,1,20547.33,17.8,2,One-Year,Bank Transfer,Desktop,0
18,179743.86,543,3,103029.97,4.0,1,Month-to-Month,Credit Card,Mobile,0
33,169632.57,762,46,136994.96,95.8,2,Month-to-Month,Bank Transfer,Mobile,0
56,124597.61,689,55,91287.47,72.4,3,Month-to-Month,Credit Card,Desktop,0
22,90293.45,675,64,83978.31,85.6,3,Month-to-Month,Credit Card,Tablet,0
39,123607.49,357,45,144167.74,37.2,2,Month-to-Month,Credit Card,Desktop,0
46,146776.0,378,26,94109.48,61.6,3,Month-to-Month,Electronic Check,Mobile,0
72,43342.11,461,65,38932.56,89.9,3,One-Year,Credit Card,Desktop,0
20,88535.26,784,24,43858.65,56.0,3,Two-Year,Electronic Check,Mobile,0
29,155169.35,510,35,105796.0,72.6,1,Month-to-Month,Credit Card,Mobile,0
43,84494.11,480,24,110315.49,95.0,2,One-Year,Bank Transfer,Tablet,0
33,113640.2,537,28,45524.43,26.6,2,Two-Year,Bank Transfer,Mobile,0
68,116104.25,512,16,51801.6,8.8,1,Month-to-Month,Bank Transfer,Mobile,0
54,53593.82,546,59,148658.48,64.3,5,Two-Year,Electronic Check,Desktop,0
39,81146.49,824,54,15292.88,8.4,2,Month-to-Month,Electronic Check,Mobile,0
74,76849.25,713,16,60696.75,92.2,2,Two-Year,Electronic Check,Desktop,0
46,29060.49,553,15,9367.13,86.6,1,Month-to-Month,Bank Transfer,Desktop,0
31,28749.72,561,11,123161.75,105.9,4,Month-to-Month,Bank Transfer,Desktop,1
45,153913.04,458,65,13851.88,77.1,1,One-Year,Bank Transfer,Mobile,0
22,67325.98,625,68,101101.1,9.0,1,Two-Year,Credit Card,Mobile,0
64,105302.21,422,43,8472.51,31.1,1,Month-to-Month,Electronic Check,Mobile,0
66,71302.46,516,69,100928.26,97.1,2,One-Year,Electronic Check,Desktop,0
47,170805.28,609,13,126455.54,20.9,1,One-Year,Credit Card,Mobile,0
63,65191.0,592,10,59823.23,84.1,1,Month-to-Month,Electronic Check,Mobile,0
69,91596.81,624,41,78318.97,93.9,2,Month-to-Month,Electronic Check,Tablet,0
22,160273.19,451,50,60231.26,40.3,7,Month-to-Month,Bank Transfer,Mobile,1
29,155499.7,824,71,45073.31,39.4,1,Month-to-Month,Credit Card,Desktop,0
33,53845.72,522,59,120489.51,67.4,3,One-Year,Electronic Check,Desktop,0
43,149409.71,520,39,40800.39,103.5,3,Two-Year,Bank Transfer,Tablet,0
43,96018.97,490,3,108441.51,27.6,2,One-Year,Credit Card,Tablet,0
65,99860.18,746,7,30929.56,113.0,3,Two-Year,Bank Transfer,Desktop,0
38,45689.4,537,49,37478.07,72.3,6,Month-to-Month,Bank Transfer,Desktop,1
56,37493.23,790,26,50469.17,119.1,0,Month-to-Month,Bank Transfer,Desktop,0
53,137830.59,435,33,88373.46,11.7,2,Two-Year,Bank Transfer,Mobile,0
50,101951.48,825,48,68163.35,16.1,6,Two-Year,Bank Transfer,Mobile,0
47,92711.86,401,2,111771.72,99.4,4,Month-to-Month,Bank Transfer,Mobile,1
54,138073.78,460,71,32035.1,103.9,0,Month-to-Month,Electronic Check,Mobile,0
40,143654.5,786,32,1600.84,54.0,3,Two-Year,Electronic Check,Desktop,0
75,49630.77,714,4,116483.62,86.0,0,Month-to-Month,Bank Transfer,Tablet,0
27,119584.9,691,20,123247.4,104.2,0,Month-to-Month,Electronic Check,Tablet,0
71,45979.88,392,36,8922.02,6.1,4,One-Year,Electronic Check,Mobile,1
22,141463.14,560,32,91636.13,69.3,3,Two-Year,Credit Card,Mobile,0
53,126828.05,805,28,56731.02,102.6,2,One-Year,Electronic Check,Desktop,0
51,173275.27,849,1,119084.35,48.4,2,One-Year,Credit Card,Mobile,0
69,35688.49,549,60,131162.18,37.0,0,Month-to-Month,Credit Card,Desktop,0
48,33843.48,647,56,127650.57,95.7,3,One-Year,Bank Transfer,Desktop,0
27,68739.0,695,35,116580.64,41.0,2,Month-to-Month,Bank Transfer,Desktop,0
75,65564.38,589,30,40357.83,1.4,4,Two-Year,Bank Transfer,Mobile,0
36,63281.71,464,54,121783.45,115.2,4,Month-to-Month,Electronic Check,Mobile,0
75,165469.46,375,36,80021.77,71.5,1,One-Year,Credit Card,Mobile,0
49,63679.66,756,55,7913.49,98.5,1,Two-Year,Electronic Check,Desktop,0
18,67152.21,648,58,68540.83,99.2,3,Month-to-Month,Bank Transfer,Tablet,0
73,142706.73,426,65,141323.69,8.9,2,Two-Year,Electronic Check,Mobile,0
22,94709.68,761,69,133178.9,21.3,2,Month-to-Month,Credit Card,Mobile,0
62,145390.14,486,51,15339.64,38.0,0,Month-to-Month,Bank Transfer,Desktop,0
21,35131.75,369,22,111619.0,39.2,3,Month-to-Month,Bank Transfer,Mobile,0
33,100573.54,789,53,120868.93,79.4,2,Two-Year,Bank Transfer,Tablet,0
41,30210.11,560,36,40708.23,75.2,1,Two-Year,Credit Card,Mobile,0
33,34711.25,589,68,70741.29,59.9,3,Month-to-Month,Bank Transfer,Tablet,0
72,165497.81,388,36,106648.19,26.1,2,Month-to-Month,Credit Card,Tablet,0
19,46583.03,784,52,65856.22,46.5,1,Two-Year,Bank Transfer,Tablet,0
66,107525.21,617,53,16919.54,65.7,2,Month-to-Month,Electronic Check,Mobile,0
45,88719.82,556,50,105882.37,56.7,2,One-Year,Credit Card,Mobile,0
49,78838.22,828,41,136745.8,16.1,2,One-Year,Bank Transfer,Desktop,0
44,164474.17,788,18,97872.71,78.3,1,Two-Year,Electronic Check,Desktop,0
37,28382.63,811,22,116070.11,9.7,3,One-Year,Credit Card,Desktop,0
41,127887.4,616,66,53754.38,46.0,2,Month-to-Month,Credit Card,Mobile,0
29,174326.14,503,21,27479.74,85.5,4,Two-Year,Credit Card,Mobile,0
67,111826.07,391,44,96416.05,3.4,1,Month-to-Month,Credit Card,Tablet,0
52,170207.48,760,47,49165.68,68.8,1,Month-to-Month,Credit Card,Mobile,0
50,33099.97,360,39,129011.03,40.8,4,Month-to-Month,Credit Card,Mobile,1
50,89912.96,643,29,18394.21,2.1,0,Two-Year,Credit Card,Mobile,0
68,65324.46,447,54,65019.55,23.7,2,One-Year,Electronic Check,Desktop,0
60,138277.25,776,17,59509.14,113.0,6,Month-to-Month,Electronic Check,Mobile,1
54,177101.05,624,60,140708.08,63.0,2,One-Year,Electronic Check,Desktop,0
29,64762.16,797,31,22970.22,119.7,3,Month-to-Month,Bank Transfer,Mobile,0
20,126397.06,739,49,1477.02,63.5,2,Two-Year,Credit Card,Mobile,0
18,55705.13,779,2,35712.78,65.7,3,Month-to-Month,Bank Transfer,Desktop,0
50,112626.19,721,48,123041.53,47.6,4,One-Year,Credit Card,Mobile,0
57,96909.54,579,14,31398.27,37.9,1,One-Year,Bank Transfer,Mobile,0
27,175660.83,718,59,36131.71,30.9,1,Month-to-Month,Electronic Check,Desktop,0
60,119321.73,775,58,19484.82,41.9,2,Two-Year,Credit Card,Mobile,0
61,79173.49,569,58,107315.43,55.7,5,Month-to-Month,Bank Transfer,Mobile,0
46,42684.85,414,51,10376.13,23.8,0,One-Year,Bank Transfer,Tablet,0
30,48443.26,704,2,49681.25,27.8,0,One-Year,Electronic Check,Tablet,0
29,59924.12,581,41,42374.81,33.3,4,One-Year,Credit Card,Mobile,0
48,63899.83,677,16,83273.96,54.5,3,Month-to-Month,Credit Card,Mobile,0
63,156845.49,792,4,109562.44,78.7,0,Two-Year,Electronic Check,Mobile,0
19,111989.53,401,12,79931.47,102.9,2,Month-to-Month,Credit Card,Tablet,0
68,106125.59,723,29,139653.9,35.2,3,One-Year,Bank Transfer,Desktop,0
